Title,Info,Rating,Rating People,Comment
怦然心动,"导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010 / 美国 / 剧情 喜剧 爱情
                        


9.1

1981098人评价


真正的幸福是来自内心深处。",9.1,1981098人评价,真正的幸福是来自内心深处。
活着,"导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭
                        


9.3

931824人评价


张艺谋最好的电影。",9.3,931824人评价,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        


9.2

1151749人评价


无尽的黑暗。",9.2,1151749人评价,无尽的黑暗。
指环王3：王者无敌,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        


9.3

875934人评价


史诗的终章。",9.3,875934人评价,史诗的终章。
我不是药神,"导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...
                            2018 / 中国大陆 / 剧情 喜剧
                        


9.0

2276401人评价


对我们国家而言，这样的电影多一部是一部。",9.0,2276401人评价,对我们国家而言，这样的电影多一部是一部。
乱世佳人,"导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
                            1939 / 美国 / 剧情 历史 爱情 战争
                        


9.3

757872人评价


Tomorrow is another day.",9.3,757872人评价,Tomorrow is another day.
飞屋环游记,"导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        


9.1

1442060人评价


最后那些最无聊的事情，才是最值得怀念的。",9.1,1442060人评价,最后那些最无聊的事情，才是最值得怀念的。 
让子弹飞,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部
                        


9.0

1851869人评价


你给我翻译翻译，神马叫做TMD的惊喜。",9.0,1851869人评价,你给我翻译翻译，神马叫做TMD的惊喜。
哈尔的移动城堡,"导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 爱情 动画 奇幻 冒险
                        


9.1

1224413人评价


带着心爱的人在天空飞翔。",9.1,1224413人评价,带着心爱的人在天空飞翔。
素媛,"导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情
                        


9.3

749013人评价


受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。",9.3,749013人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
十二怒汉,"导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情
                        


9.4

550715人评价


1957年的理想主义。",9.4,550715人评价,1957年的理想主义。 
海蒂和爷爷,"导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...
                            2015 / 德国 瑞士 / 剧情 冒险 家庭
                        


9.3

727334人评价


如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。",9.3,727334人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
猫鼠游戏,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情
                        


9.1

1151070人评价


骗子大师和执著警探的你追我跑故事。",9.1,1151070人评价,骗子大师和执著警探的你追我跑故事。 
天空之城,"导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险
                        


9.2

969231人评价


对天空的追逐，永不停止。",9.2,969231人评价,对天空的追逐，永不停止。 
摔跤吧！爸爸,"导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭
                        


9.0

1688870人评价


你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。",9.0,1688870人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
鬼子来了,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 喜剧
                        


9.3

686116人评价


对敌人的仁慈，就是对自己残忍。",9.3,686116人评价,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,"导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险
                        


9.1

1445372人评价


瑰丽壮观、无人能及的冒险之旅。",9.1,1445372人评价,瑰丽壮观、无人能及的冒险之旅。
钢琴家,"导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 英国 法国 波兰 德国 美国 / 剧情 传记 战争 音乐
                        


9.3

716142人评价",9.3,716142人评价,N/A
